"outcome.type","n.cluster","mean.size","coef.var","ICC","ICC2","model","true.model","method","ddf","type.I.error"
"count",10,100,0.75,"0.01",0.00549162449125098,1,"D","LRT","containment",0.0892
"binary",10,100,0.75,"0.05",0.0315330648415179,1,"B","LRT","containment",0.09
"binary",10,100,0.75,"0.05",0.0314411795839107,1,"D","LRT","containment",0.1248
"count",10,100,0.75,"0.05",0.0167614662141134,1,"B","LRT","containment",0.0976
"count",10,100,0.75,"0.05",0.0138420308786452,1,"D","LRT","containment",0.1198
"binary",10,100,0.75,"0.1",0.061173853571102,1,"B","LRT","containment",0.0974
"binary",10,100,0.75,"0.1",0.0614602578227335,1,"D","LRT","containment",0.1214
"count",10,100,0.75,"0.1",0.0326247087665097,1,"B","LRT","containment",0.0916
"count",10,100,0.75,"0.1",0.0266256970415046,1,"D","LRT","containment",0.1274
"binary",10,100,0.75,"0.2",0.121606885384861,1,"B","LRT","containment",0.0876
"binary",10,100,0.75,"0.2",0.124129025345582,1,"D","LRT","containment",0.1196
"count",10,100,0.75,"0.2",0.0637126190077066,1,"B","LRT","containment",0.0898
"count",10,100,0.75,"0.2",0.05264982680556,1,"D","LRT","containment",0.1202
"binary",10,100,1.5,"0.001",0.00358128016710519,1,"B","LRT","containment",0.0434
"binary",10,100,1.5,"0.001",0.00458551831150551,1,"D","LRT","containment",0.0548
"count",10,100,1.5,"0.001",0.00770656453441129,1,"B","LRT","containment",0.0474
"count",10,100,1.5,"0.001",0.0122108155851257,1,"D","LRT","containment",0.0558
"binary",10,100,1.5,"0.01",0.00816542803326101,1,"B","LRT","containment",0.0894
"binary",10,100,1.5,"0.01",0.00891058041937723,1,"D","LRT","containment",0.0996
"count",10,100,1.5,"0.01",0.00916021403874883,1,"B","LRT","containment",0.09
"count",10,100,1.5,"0.01",0.0145083252749965,1,"D","LRT","containment",0.1184
"binary",10,100,1.5,"0.05",0.0319343764931785,1,"B","LRT","containment",0.119
"binary",10,100,1.5,"0.05",0.0320120969829805,1,"D","LRT","containment",0.1472
"count",10,100,1.5,"0.05",0.0223257299319671,1,"B","LRT","containment",0.1184
"count",10,100,1.5,"0.05",0.0233974881416066,1,"D","LRT","containment",0.1588
"binary",10,100,1.5,"0.1",0.0603606557394306,1,"B","LRT","containment",0.1132
"binary",10,100,1.5,"0.1",0.0621806666591178,1,"D","LRT","containment",0.158
"count",10,100,1.5,"0.1",0.0375981397328829,1,"B","LRT","containment",0.118
"count",10,100,1.5,"0.1",0.0365294023212697,1,"D","LRT","containment",0.1646
"binary",10,100,1.5,"0.2",0.123151332064255,1,"B","LRT","containment",0.0972
"binary",10,100,1.5,"0.2",0.123591487869784,1,"D","LRT","containment",0.1338
"count",10,100,1.5,"0.2",0.0724461693283039,1,"B","LRT","containment",0.1138
"count",10,100,1.5,"0.2",0.0646099575174462,1,"D","LRT","containment",0.138
"binary",20,50,0,"0.001",0.00297273317995276,1,"B","LRT","containment",0.0418
"binary",20,50,0,"0.001",0.00320855378245645,1,"D","LRT","containment",0.046
"count",20,50,0,"0.001",0.0026382083629439,1,"B","LRT","containment",0.0424
"count",20,50,0,"0.001",0.00305364304153023,1,"D","LRT","containment",0.0512
"binary",20,50,0,"0.01",0.00705696889021031,1,"B","LRT","containment",0.0552
"binary",20,50,0,"0.01",0.0074105931357321,1,"D","LRT","containment",0.0576
"count",20,50,0,"0.01",0.00483539976294783,1,"B","LRT","containment",0.0598
"count",20,50,0,"0.01",0.00448778536953718,1,"D","LRT","containment",0.0696
"binary",20,50,0,"0.05",0.0313920785734977,1,"B","LRT","containment",0.0632
"binary",20,50,0,"0.05",0.0309669347731658,1,"D","LRT","containment",0.0786
"count",20,50,0,"0.05",0.0156964616031448,1,"B","LRT","containment",0.0664
"count",20,50,0,"0.05",0.0132661936811219,1,"D","LRT","containment",0.0754
"binary",20,50,0,"0.1",0.0616840554451272,1,"B","LRT","containment",0.0682
"binary",20,50,0,"0.1",0.0624729583838673,1,"D","LRT","containment",0.0704
"count",20,50,0,"0.1",0.0316192240488489,1,"B","LRT","containment",0.067
"count",20,50,0,"0.1",0.0251018540604815,1,"D","LRT","containment",0.0754
"binary",20,50,0,"0.2",0.123544309959441,1,"B","LRT","containment",0.064
"binary",20,50,0,"0.2",0.125196097868788,1,"D","LRT","containment",0.0734
"count",20,50,0,"0.2",0.0637572865537701,1,"B","LRT","containment",0.067
"count",20,50,0,"0.2",0.0516844860554852,1,"D","LRT","containment",0.077
"binary",20,50,0.75,"0.001",0.00291040171178349,1,"B","LRT","containment",0.0432
"binary",20,50,0.75,"0.001",0.00308222723113084,1,"D","LRT","containment",0.045
"count",20,50,0.75,"0.001",0.00319075913045441,1,"B","LRT","containment",0.046
"count",20,50,0.75,"0.001",0.00402108563261592,1,"D","LRT","containment",0.0454
"binary",20,50,0.75,"0.01",0.0072211631148359,1,"B","LRT","containment",0.056
"binary",20,50,0.75,"0.01",0.00747116018071187,1,"D","LRT","containment",0.0648
"count",20,50,0.75,"0.01",0.00507101350509858,1,"B","LRT","containment",0.0668
"count",20,50,0.75,"0.01",0.00583955305942442,1,"D","LRT","containment",0.0736
"binary",20,50,0.75,"0.05",0.0312015579297632,1,"B","LRT","containment",0.0732
"binary",20,50,0.75,"0.05",0.0312710508889427,1,"D","LRT","containment",0.0786
"count",20,50,0.75,"0.05",0.0170217017453753,1,"B","LRT","containment",0.075
"count",20,50,0.75,"0.05",0.0147261108726542,1,"D","LRT","containment",0.0858
"binary",20,50,0.75,"0.1",0.0609688181769386,1,"B","LRT","containment",0.0648
"binary",20,50,0.75,"0.1",0.0623742459264603,1,"D","LRT","containment",0.0834
"count",20,50,0.75,"0.1",0.0335831395552658,1,"B","LRT","containment",0.0638
"count",20,50,0.75,"0.1",0.0277094083480503,1,"D","LRT","containment",0.0812
"binary",20,50,0.75,"0.2",0.123054753305988,1,"B","LRT","containment",0.0736
"binary",20,50,0.75,"0.2",0.125484539471574,1,"D","LRT","containment",0.0716
"count",20,50,0.75,"0.2",0.0653627401176548,1,"B","LRT","containment",0.0662
"count",20,50,0.75,"0.2",0.0546819004743531,1,"D","LRT","containment",0.0866
"binary",20,50,1.5,"0.001",0.00289095466243153,1,"B","LRT","containment",0.0412
"binary",20,50,1.5,"0.001",0.00325853780164903,1,"D","LRT","containment",0.0474
"count",20,50,1.5,"0.001",0.00683419995589697,1,"B","LRT","containment",0.0452
"count",20,50,1.5,"0.001",0.0101612682162174,1,"D","LRT","containment",0.0446
"binary",20,50,1.5,"0.01",0.0076625046619569,1,"B","LRT","containment",0.0678
"binary",20,50,1.5,"0.01",0.00796472049236954,1,"D","LRT","containment",0.075
"count",20,50,1.5,"0.01",0.0093611937058291,1,"B","LRT","containment",0.0818
"count",20,50,1.5,"0.01",0.0130663256683597,1,"D","LRT","containment",0.0814
"binary",20,50,1.5,"0.05",0.031370381715074,1,"B","LRT","containment",0.0824
"binary",20,50,1.5,"0.05",0.0310876123034836,1,"D","LRT","containment",0.0882
"count",20,50,1.5,"0.05",0.0222575735627618,1,"B","LRT","containment",0.0796
"count",20,50,1.5,"0.05",0.0224157934408361,1,"D","LRT","containment",0.1026
"binary",20,50,1.5,"0.1",0.0615174282551184,1,"B","LRT","containment",0.0766
"binary",20,50,1.5,"0.1",0.0623945813101728,1,"D","LRT","containment",0.0896
"count",20,50,1.5,"0.1",0.0385232546129944,1,"B","LRT","containment",0.0746
"count",20,50,1.5,"0.1",0.0356660410049276,1,"D","LRT","containment",0.089
"binary",20,50,1.5,"0.2",0.123206632265192,1,"B","LRT","containment",0.0704
"binary",20,50,1.5,"0.2",0.124450022177621,1,"D","LRT","containment",0.081
"count",20,50,1.5,"0.2",0.0734435720284137,1,"B","LRT","containment",0.067
"count",20,50,1.5,"0.2",0.0648815877143273,1,"D","LRT","containment",0.0802
"binary",20,100,0,"0.001",0.00174820235429435,1,"B","LRT","containment",0.0454
"binary",20,100,0,"0.001",0.00177969871574659,1,"D","LRT","containment",0.0438
"count",20,100,0,"0.001",0.00147161479043543,1,"B","LRT","containment",0.0458
"count",20,100,0,"0.001",0.00162053986071392,1,"D","LRT","containment",0.0498
"binary",20,100,0,"0.01",0.00642151858707754,1,"B","LRT","containment",0.062
"binary",20,100,0,"0.01",0.00644295628054491,1,"D","LRT","containment",0.0684
"count",20,100,0,"0.01",0.00358914820444707,1,"B","LRT","containment",0.0642
"count",20,100,0,"0.01",0.003147222361352,1,"D","LRT","containment",0.073
"binary",20,100,0,"0.05",0.031037363866421,1,"B","LRT","containment",0.0648
"binary",20,100,0,"0.05",0.031172274058489,1,"D","LRT","containment",0.0686
"count",20,100,0,"0.05",0.015480619142994,1,"B","LRT","containment",0.073
"count",20,100,0,"0.05",0.0123849462169555,1,"D","LRT","containment",0.0768
"binary",20,100,0,"0.1",0.0617885631873697,1,"B","LRT","containment",0.0696
"binary",20,100,0,"0.1",0.0626725009206945,1,"D","LRT","containment",0.0746
"count",20,100,0,"0.1",0.0307474923703163,1,"B","LRT","containment",0.0638
"count",20,100,0,"0.1",0.0249681068458786,1,"D","LRT","containment",0.0742
"binary",20,100,0,"0.2",0.124679855798621,1,"B","LRT","containment",0.0634
"binary",20,100,0,"0.2",0.125062170218593,1,"D","LRT","containment",0.0716
"count",20,100,0,"0.2",0.0619372052091177,1,"B","LRT","containment",0.0666
"count",20,100,0,"0.2",0.0509017284166293,1,"D","LRT","containment",0.071
"binary",20,100,0.75,"0.001",0.00166188781131302,1,"B","LRT","containment",0.0454
"binary",20,100,0.75,"0.001",0.00175061292046882,1,"D","LRT","containment",0.0516
"count",20,100,0.75,"0.001",0.00162768978516727,1,"B","LRT","containment",0.0438
"count",20,100,0.75,"0.001",0.00207760219090623,1,"D","LRT","containment",0.0484
"binary",20,100,0.75,"0.01",0.00655994164797823,1,"B","LRT","containment",0.0702
"binary",20,100,0.75,"0.01",0.00653218528316026,1,"D","LRT","containment",0.066
"count",20,100,0.75,"0.01",0.00385455873728421,1,"B","LRT","containment",0.063
"count",20,100,0.75,"0.01",0.00368840985439068,1,"D","LRT","containment",0.0776
"binary",20,100,0.75,"0.05",0.0312410135474768,1,"B","LRT","containment",0.0644
"binary",20,100,0.75,"0.05",0.0313829251412851,1,"D","LRT","containment",0.0776
"count",20,100,0.75,"0.05",0.0160913602955436,1,"B","LRT","containment",0.07
"count",20,100,0.75,"0.05",0.0134396045829501,1,"D","LRT","containment",0.078
"binary",20,100,0.75,"0.1",0.0620727928092743,1,"B","LRT","containment",0.0714
"binary",20,100,0.75,"0.1",0.06194564058204,1,"D","LRT","containment",0.0852
"count",20,100,0.75,"0.1",0.0317710884557614,1,"B","LRT","containment",0.0684
"count",20,100,0.75,"0.1",0.0256921554559631,1,"D","LRT","containment",0.0764
"binary",20,100,0.75,"0.2",0.123485079194501,1,"B","LRT","containment",0.0712
"binary",20,100,0.75,"0.2",0.123838643695194,1,"D","LRT","containment",0.0818
"count",20,100,0.75,"0.2",0.0631170052498808,1,"B","LRT","containment",0.0664
"count",20,100,0.75,"0.2",0.05307615037322,1,"D","LRT","containment",0.0794
"binary",20,100,1.5,"0.001",0.00178339161013326,1,"B","LRT","containment",0.0462
"binary",20,100,1.5,"0.001",0.00197777985617302,1,"D","LRT","containment",0.0548
"count",20,100,1.5,"0.001",0.00433415431171466,1,"B","LRT","containment",0.046
"count",20,100,1.5,"0.001",0.00658065302995626,1,"D","LRT","containment",0.0574
"binary",20,100,1.5,"0.01",0.00661874988293238,1,"B","LRT","containment",0.0774
"binary",20,100,1.5,"0.01",0.00684342383051167,1,"D","LRT","containment",0.096
"count",20,100,1.5,"0.01",0.0064270322723718,1,"B","LRT","containment",0.087
"count",20,100,1.5,"0.01",0.00853526075982473,1,"D","LRT","containment",0.0996
"binary",20,100,1.5,"0.05",0.0309938445692882,1,"B","LRT","containment",0.0722
"binary",20,100,1.5,"0.05",0.0312663890973906,1,"D","LRT","containment",0.1014
"count",20,100,1.5,"0.05",0.0187775756415513,1,"B","LRT","containment",0.0838
"count",20,100,1.5,"0.05",0.0193445559938387,1,"D","LRT","containment",0.0868
"binary",20,100,1.5,"0.1",0.061971023598139,1,"B","LRT","containment",0.0736
"binary",20,100,1.5,"0.1",0.0625938751746794,1,"D","LRT","containment",0.0918
"count",20,100,1.5,"0.1",0.0357707560327553,1,"B","LRT","containment",0.0726
"count",20,100,1.5,"0.1",0.0333689882423663,1,"D","LRT","containment",0.0812
"binary",20,100,1.5,"0.2",0.123743213651588,1,"B","LRT","containment",0.0718
"binary",20,100,1.5,"0.2",0.124178537620444,1,"D","LRT","containment",0.0876
"count",20,100,1.5,"0.2",0.0708584932862274,1,"B","LRT","containment",0.0718
"count",20,100,1.5,"0.2",0.0617982392860609,1,"D","LRT","containment",0.0852
"binary",10,50,0,"0.001",0.00411949946397478,1,"B","LRT","BW2",0.015
"binary",10,50,0,"0.001",0.00452802321856167,1,"D","LRT","BW2",0.014
"count",10,50,0,"0.001",0.00393592975288138,1,"B","LRT","BW2",0.0182
"count",10,50,0,"0.001",0.00416621314026742,1,"D","LRT","BW2",0.015
"binary",10,50,0,"0.01",0.00867480515927905,1,"B","LRT","BW2",0.0198
"binary",10,50,0,"0.01",0.00881725072520158,1,"D","LRT","BW2",0.0256
"count",10,50,0,"0.01",0.00611937625430008,1,"B","LRT","BW2",0.0274
"count",10,50,0,"0.01",0.00591455907045102,1,"D","LRT","BW2",0.0256
"binary",10,50,0,"0.05",0.0301302588361231,1,"B","LRT","BW2",0.0444
"binary",10,50,0,"0.05",0.0311917165127615,1,"D","LRT","BW2",0.0488
"count",10,50,0,"0.05",0.0168439329995944,1,"B","LRT","BW2",0.0408
"count",10,50,0,"0.05",0.0141946227268575,1,"D","LRT","BW2",0.0528
"binary",10,50,0,"0.1",0.0615673770923516,1,"B","LRT","BW2",0.0438
"binary",10,50,0,"0.1",0.0614515903012237,1,"D","LRT","BW2",0.0536
"count",10,50,0,"0.1",0.0314064782680776,1,"B","LRT","BW2",0.0478
"count",10,50,0,"0.1",0.0270597949749684,1,"D","LRT","BW2",0.059
"binary",10,50,0,"0.2",0.12177969749823,1,"B","LRT","BW2",0.0474
"binary",10,50,0,"0.2",0.122636263391286,1,"D","LRT","BW2",0.0594
"count",10,50,0,"0.2",0.062188050311496,1,"B","LRT","BW2",0.0446
"count",10,50,0,"0.2",0.0511958090431419,1,"D","LRT","BW2",0.0564
"binary",10,50,0.75,"0.001",0.00446930710912612,1,"B","LRT","BW2",0.0178
"binary",10,50,0.75,"0.001",0.00541228135921152,1,"D","LRT","BW2",0.0136
"count",10,50,0.75,"0.001",0.00550793177571203,1,"B","LRT","BW2",0.0144
"count",10,50,0.75,"0.001",0.00667640141796894,1,"D","LRT","BW2",0.0144
"binary",10,50,0.75,"0.01",0.00900662086242912,1,"B","LRT","BW2",0.023
"binary",10,50,0.75,"0.01",0.00939851520886186,1,"D","LRT","BW2",0.0244
"count",10,50,0.75,"0.01",0.00776284939130232,1,"B","LRT","BW2",0.0272
"count",10,50,0.75,"0.01",0.0087165104098662,1,"D","LRT","BW2",0.034
"binary",10,50,0.75,"0.05",0.0309903335813175,1,"B","LRT","BW2",0.0464
"binary",10,50,0.75,"0.05",0.0319096020377554,1,"D","LRT","BW2",0.0502
"count",10,50,0.75,"0.05",0.0191187691831615,1,"B","LRT","BW2",0.0486
"count",10,50,0.75,"0.05",0.0169983118236743,1,"D","LRT","BW2",0.0548
"binary",10,50,0.75,"0.1",0.0615667103540197,1,"B","LRT","BW2",0.0516
"binary",10,50,0.75,"0.1",0.0638699682390718,1,"D","LRT","BW2",0.0606
"count",10,50,0.75,"0.1",0.0343938597571105,1,"B","LRT","BW2",0.0504
"count",10,50,0.75,"0.1",0.0302698302961826,1,"D","LRT","BW2",0.0668
"binary",10,50,0.75,"0.2",0.123352434405897,1,"B","LRT","BW2",0.0452
"binary",10,50,0.75,"0.2",0.12417583576854,1,"D","LRT","BW2",0.058
"count",10,50,0.75,"0.2",0.066514397520405,1,"B","LRT","BW2",0.0452
"count",10,50,0.75,"0.2",0.0555861175672281,1,"D","LRT","BW2",0.064
"binary",10,50,1.5,"0.001",0.00624863008071972,1,"B","LRT","BW2",0.0154
"binary",10,50,1.5,"0.001",0.00824489648340498,1,"D","LRT","BW2",0.019
"count",10,50,1.5,"0.001",0.0113617242763434,1,"B","LRT","BW2",0.0132
"count",10,50,1.5,"0.001",0.0168332269701492,1,"D","LRT","BW2",0.0162
"binary",10,50,1.5,"0.01",0.0109885333162633,1,"B","LRT","BW2",0.0316
"binary",10,50,1.5,"0.01",0.0120921944128048,1,"D","LRT","BW2",0.0302
"count",10,50,1.5,"0.01",0.0135503316180757,1,"B","LRT","BW2",0.0274
"count",10,50,1.5,"0.01",0.0204434184020878,1,"D","LRT","BW2",0.0318
"binary",10,50,1.5,"0.05",0.0322321294565187,1,"B","LRT","BW2",0.0594
"binary",10,50,1.5,"0.05",0.0341919579793778,1,"D","LRT","BW2",0.0708
"count",10,50,1.5,"0.05",0.026376084074767,1,"B","LRT","BW2",0.0576
"count",10,50,1.5,"0.05",0.030119707742815,1,"D","LRT","BW2",0.0724
"binary",10,50,1.5,"0.1",0.0628531272047849,1,"B","LRT","BW2",0.0604
"binary",10,50,1.5,"0.1",0.0624620620960744,1,"D","LRT","BW2",0.0754
"count",10,50,1.5,"0.1",0.0403680467630873,1,"B","LRT","BW2",0.0662
"count",10,50,1.5,"0.1",0.0426625074350172,1,"D","LRT","BW2",0.0872
"binary",10,50,1.5,"0.2",0.12088459696206,1,"B","LRT","BW2",0.0576
"binary",10,50,1.5,"0.2",0.122702468313869,1,"D","LRT","BW2",0.0726
"count",10,50,1.5,"0.2",0.0749073547002784,1,"B","LRT","BW2",0.0596
"count",10,50,1.5,"0.2",0.0692119478522687,1,"D","LRT","BW2",0.0844
"binary",10,100,0,"0.001",0.00233155508980384,1,"B","LRT","BW2",0.0168
"binary",10,100,0,"0.001",0.00254394185078269,1,"D","LRT","BW2",0.015
"count",10,100,0,"0.001",0.00212304139710857,1,"B","LRT","BW2",0.0182
"count",10,100,0,"0.001",0.00218737767123781,1,"D","LRT","BW2",0.0128
"binary",10,100,0,"0.01",0.00693437186012852,1,"B","LRT","BW2",0.0274
"binary",10,100,0,"0.01",0.00711431155728522,1,"D","LRT","BW2",0.0316
"count",10,100,0,"0.01",0.00419991382721597,1,"B","LRT","BW2",0.0312
"count",10,100,0,"0.01",0.00389694871869419,1,"D","LRT","BW2",0.034
"binary",10,100,0,"0.05",0.0308963332391612,1,"B","LRT","BW2",0.0492
"binary",10,100,0,"0.05",0.0311349695011252,1,"D","LRT","BW2",0.054
"count",10,100,0,"0.05",0.0155795330366775,1,"B","LRT","BW2",0.0422
"count",10,100,0,"0.05",0.0128185340391167,1,"D","LRT","BW2",0.051
"binary",10,100,0,"0.1",0.0619438846779286,1,"B","LRT","BW2",0.0436
"binary",10,100,0,"0.1",0.0616564372078175,1,"D","LRT","BW2",0.0528
"count",10,100,0,"0.1",0.0308245926572142,1,"B","LRT","BW2",0.0378
"count",10,100,0,"0.1",0.0251695731456641,1,"D","LRT","BW2",0.0518
"binary",10,100,0,"0.2",0.121820984538001,1,"B","LRT","BW2",0.045
"binary",10,100,0,"0.2",0.122564126748239,1,"D","LRT","BW2",0.0584
"count",10,100,0,"0.2",0.0620941670622559,1,"B","LRT","BW2",0.0474
"count",10,100,0,"0.2",0.04952870688156,1,"D","LRT","BW2",0.0588
"binary",10,100,0.75,"0.001",0.00259512540618092,1,"B","LRT","BW2",0.0164
"binary",10,100,0.75,"0.001",0.00292578998746266,1,"D","LRT","BW2",0.0162
"count",10,100,0.75,"0.001",0.00279934858288995,1,"B","LRT","BW2",0.0162
"count",10,100,0.75,"0.001",0.00356422216844901,1,"D","LRT","BW2",0.0148
"binary",10,100,0.75,"0.01",0.00706771799157086,1,"B","LRT","BW2",0.0362
"binary",10,100,0.75,"0.01",0.00753246689851776,1,"D","LRT","BW2",0.0312
"count",10,100,0.75,"0.01",0.00487862033719871,1,"B","LRT","BW2",0.0342
"count",10,100,0.75,"0.01",0.00549162449125098,1,"D","LRT","BW2",0.037
"binary",10,100,0.75,"0.05",0.0315330648415179,1,"B","LRT","BW2",0.0488
"binary",10,100,0.75,"0.05",0.0314411795839107,1,"D","LRT","BW2",0.0652
"count",10,100,0.75,"0.05",0.0167614662141134,1,"B","LRT","BW2",0.0542
"count",10,100,0.75,"0.05",0.0138420308786452,1,"D","LRT","BW2",0.0636
"binary",10,100,0.75,"0.1",0.061173853571102,1,"B","LRT","BW2",0.0488
"binary",10,100,0.75,"0.1",0.0614602578227335,1,"D","LRT","BW2",0.0602
"count",10,100,0.75,"0.1",0.0326247087665097,1,"B","LRT","BW2",0.0502
"count",10,100,0.75,"0.1",0.0266256970415046,1,"D","LRT","BW2",0.0702
"binary",10,100,0.75,"0.2",0.121606885384861,1,"B","LRT","BW2",0.0446
"binary",10,100,0.75,"0.2",0.124129025345582,1,"D","LRT","BW2",0.0588
"count",10,100,0.75,"0.2",0.0637126190077066,1,"B","LRT","BW2",0.0472
"count",10,100,0.75,"0.2",0.05264982680556,1,"D","LRT","BW2",0.0638
"binary",10,100,1.5,"0.001",0.00358128016710519,1,"B","LRT","BW2",0.0146
"binary",10,100,1.5,"0.001",0.00458551831150551,1,"D","LRT","BW2",0.018
"count",10,100,1.5,"0.001",0.00770656453441129,1,"B","LRT","BW2",0.0194
"count",10,100,1.5,"0.001",0.0122108155851257,1,"D","LRT","BW2",0.018
"binary",10,100,1.5,"0.01",0.00816542803326101,1,"B","LRT","BW2",0.0428
"binary",10,100,1.5,"0.01",0.00891058041937723,1,"D","LRT","BW2",0.0416
"count",10,100,1.5,"0.01",0.00916021403874883,1,"B","LRT","BW2",0.0454
"count",10,100,1.5,"0.01",0.0145083252749965,1,"D","LRT","BW2",0.0524
"binary",10,100,1.5,"0.05",0.0319343764931785,1,"B","LRT","BW2",0.0616
"binary",10,100,1.5,"0.05",0.0320120969829805,1,"D","LRT","BW2",0.077
"count",10,100,1.5,"0.05",0.0223257299319671,1,"B","LRT","BW2",0.0626
"count",10,100,1.5,"0.05",0.0233974881416066,1,"D","LRT","BW2",0.0862
"binary",10,100,1.5,"0.1",0.0603606557394306,1,"B","LRT","BW2",0.0648
"binary",10,100,1.5,"0.1",0.0621806666591178,1,"D","LRT","BW2",0.0828
"count",10,100,1.5,"0.1",0.0375981397328829,1,"B","LRT","BW2",0.066
"count",10,100,1.5,"0.1",0.0365294023212697,1,"D","LRT","BW2",0.098
"binary",10,100,1.5,"0.2",0.123151332064255,1,"B","LRT","BW2",0.0532
"binary",10,100,1.5,"0.2",0.123591487869784,1,"D","LRT","BW2",0.0716
"count",10,100,1.5,"0.2",0.0724461693283039,1,"B","LRT","BW2",0.0612
"count",10,100,1.5,"0.2",0.0646099575174462,1,"D","LRT","BW2",0.0748
"binary",20,50,0,"0.001",0.00297273317995276,1,"B","LRT","BW2",0.0276
"binary",20,50,0,"0.001",0.00320855378245645,1,"D","LRT","BW2",0.0306
"count",20,50,0,"0.001",0.0026382083629439,1,"B","LRT","BW2",0.0306
"count",20,50,0,"0.001",0.00305364304153023,1,"D","LRT","BW2",0.0338
"binary",20,50,0,"0.01",0.00705696889021031,1,"B","LRT","BW2",0.0392
"binary",20,50,0,"0.01",0.0074105931357321,1,"D","LRT","BW2",0.0416
"count",20,50,0,"0.01",0.00483539976294783,1,"B","LRT","BW2",0.045
"count",20,50,0,"0.01",0.00448778536953718,1,"D","LRT","BW2",0.0482
"binary",20,50,0,"0.05",0.0313920785734977,1,"B","LRT","BW2",0.0458
"binary",20,50,0,"0.05",0.0309669347731658,1,"D","LRT","BW2",0.0608
"count",20,50,0,"0.05",0.0156964616031448,1,"B","LRT","BW2",0.0522
"count",20,50,0,"0.05",0.0132661936811219,1,"D","LRT","BW2",0.0586
"binary",20,50,0,"0.1",0.0616840554451272,1,"B","LRT","BW2",0.0496
"binary",20,50,0,"0.1",0.0624729583838673,1,"D","LRT","BW2",0.0516
"count",20,50,0,"0.1",0.0316192240488489,1,"B","LRT","BW2",0.0486
"count",20,50,0,"0.1",0.0251018540604815,1,"D","LRT","BW2",0.0574
"binary",20,50,0,"0.2",0.123544309959441,1,"B","LRT","BW2",0.05
"binary",20,50,0,"0.2",0.125196097868788,1,"D","LRT","BW2",0.0514
"count",20,50,0,"0.2",0.0637572865537701,1,"B","LRT","BW2",0.0514
"count",20,50,0,"0.2",0.0516844860554852,1,"D","LRT","BW2",0.056
